name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Breece Hall,NYJ,RB,23.8,4576,8155,15708,5567,21,6,-228
Marvin Harrison Jr,ARI,WR,22.6,11734,11628,16614,5544,22,10,-25
A.J. Brown,PHI,WR,27.7,4118,5859,14104,5284,23,11,195
Jonathan Taylor,IND,RB,26.2,3046,6813,14802,5114,24,7,-119
2025 Pick 1.02,null,PICK,null,15623,DP_0_1,DP_0_1,5084,25,2,76
Jaxon Smith-Njigba,SEA,WR,23.1,9924,9488,16185,5041,26,12,54
2025 Pick 1.03,null,PICK,null,15624,DP_0_2,DP_0_2,4999,27,3,344
Garrett Wilson,NYJ,WR,24.7,6813,8146,15753,4925,28,13,-408
Joe Burrow,CIN,QB,28.3,1002,6770,14777,4885,29,4,-125
Ladd McConkey,LAC,WR,23.4,11766,11635,16627,4842,30,14,-412
Bucky Irving,TB,RB,22.6,11779,11584,16598,4663,31,8,-434
Kyren Williams,LAR,RB,24.6,7315,8150,15710,4663,32,9,-174
2025 Pick 1.04,null,PICK,null,15625,DP_0_3,DP_0_3,4551,33,4,2
Jalen Hurts,PHI,QB,26.6,6407,6904,14783,4521,34,5,-68
Tetairoa McMillan,null,WR,null,12635,12526,UNK,4518,35,15,-57
Omarion Hampton,null,RB,null,12573,12507,UNK,4471,36,10,111
James Cook,BUF,RB,25.5,182,8138,15715,4292,37,11,-230
2025 Pick 1.05,null,PICK,null,15626,DP_0_4,DP_0_4,4176,38,5,-21
Josh Jacobs,GB,RB,27.1,1326,5850,14073,4113,39,12,-335
Rashee Rice,KC,WR,24.9,9929,10229,16194,4111,40,16,-472
Tee Higgins,CIN,WR,26.2,5531,6801,14835,4002,41,17,-373
Christian McCaffrey,SF,RB,28.8,5494,4034,13130,3999,42,13,-70
Rome Odunze,CHI,WR,22.8,11763,11620,16616,3984,43,18,-5
TreVeyon Henderson,null,RB,null,12580,12529,UNK,3900,44,14,42
Patrick Mahomes,KC,QB,29.5,880,4046,13116,3861,45,6,-198
2025 Pick 1.06,null,PICK,null,15627,DP_0_5,DP_0_5,3859,46,6,-37
Sam LaPorta,DET,TE,24.2,9843,10859,16214,3859,47,3,-100
2025 Round 1,null,PICK,null,9632,FP_2025_1,FP_2025_1,3722,48,7,-43
Kenneth Walker,SEA,RB,24.4,1749,8151,15711,3643,49,15,-274
2025 Pick 1.07,null,PICK,null,15628,DP_0_6,DP_0_6,3586,50,8,-50
Chase Brown,CIN,RB,25,9967,9224,16181,3572,51,16,-329
Derrick Henry,BAL,RB,31.2,5421,3198,12626,3556,52,17,-452
DeVonta Smith,PHI,WR,26.4,6635,7525,15282,3489,53,19,-489
DJ Moore,CHI,WR,27.9,6110,4983,13635,3465,54,20,15
Quinshon Judkins,null,RB,null,12632,12512,UNK,3392,55,18,54
2025 Pick 1.08,null,PICK,null,15629,DP_0_7,DP_0_7,3349,56,9,-58
Luther Burden,null,WR,null,12590,12519,UNK,3311,57,21,-71
DK Metcalf,SEA,WR,27.3,5240,5846,14102,3274,58,22,-152
Chris Olave,NO,WR,24.7,2548,8144,15754,3233,59,23,-299
Kaleb Johnson,null,RB,null,12598,12504,UNK,3232,60,19,-52
Zay Flowers,BAL,WR,24.5,9930,9997,16190,3232,61,24,-354
Tyler Warren,null,TE,null,12592,12518,UNK,3218,62,4,43
Drake Maye,NE,QB,22.6,11696,11564,16580,3201,63,7,-103
C.J. Stroud,HOU,QB,23.5,9838,9758,16150,3200,64,8,-113
Caleb Williams,CHI,QB,23.3,11708,11560,16579,3185,65,9,-59
Terry McLaurin,WAS,WR,29.5,4864,5927,14109,3185,66,25,-22
Justin Herbert,LAC,QB,27,8448,6797,14779,3183,67,10,-66
2025 Pick 1.09,null,PICK,null,15630,DP_0_8,DP_0_8,3141,68,10,-64
Xavier Worthy,KC,WR,21.9,11736,11624,16620,3114,69,26,-210
Emeka Egbuka,null,WR,null,12595,12514,UNK,3092,70,27,23
Jordan Addison,MIN,WR,23.1,9847,9756,16186,3078,71,28,-425
Chuba Hubbard,CAR,RB,25.8,183,7594,15261,3053,72,20,-214
Jameson Williams,DET,WR,24,1100,8148,15756,2994,73,29,-173
Jaylen Waddle,MIA,WR,26.3,1409,7526,15284,2979,74,30,-318
Bo Nix,DEN,QB,25.1,11728,11563,16582,2978,75,11,-29
2025 Pick 1.10,null,PICK,null,15631,DP_0_9,DP_0_9,2958,76,11,-69
Brandon Aiyuk,SF,WR,27,6429,6803,14840,2958,77,31,-133
David Montgomery,DET,RB,27.8,7515,5892,14071,2946,78,21,-42
T.J. Hockenson,MIN,TE,27.7,8215,5844,14138,2941,79,5,-109
Alvin Kamara,NO,RB,29.7,4144,4035,13132,2910,80,22,-125
Joe Mixon,HOU,RB,28.7,4578,4018,13131,2890,81,23,-415
Travis Hunter,null,WR,null,12617,12530,UNK,2869,82,32,-245
Jordan Love,GB,QB,26.4,3651,6804,14782,2807,83,12,-115
George Pickens,PIT,WR,24,1436,8137,15762,2806,84,33,-348
2025 Pick 1.11,null,PICK,null,15632,DP_0_10,DP_0_10,2795,85,12,-72
Tyreek Hill,MIA,WR,31.1,7958,3321,12801,2775,86,34,-200
George Kittle,SF,TE,31.5,5709,4217,13299,2733,87,6,-554
2027 Round 1,null,PICK,null,9692,FP_2027_1,FP_2027_1,2651,88,13,-15
2025 Pick 1.12,null,PICK,null,15633,DP_0_11,DP_0_11,2649,89,14,-74
Chris Godwin,TB,WR,29.1,2505,4037,13163,2621,90,35,40
Mike Evans,TB,WR,31.6,7495,2216,11671,2612,91,36,-259
Jayden Reed,GB,WR,24.9,9863,10222,16184,2605,92,37,-302
2026 Round 1,null,PICK,null,9662,FP_2026_1,FP_2026_1,2583,93,15,-198
Najee Harris,PIT,RB,27,7252,7528,15254,2561,94,24,292
Jerry Jeudy,CLE,WR,25.9,2427,6783,14833,2536,95,38,-113
Davante Adams,NYJ,WR,32.2,1503,2133,11675,2525,96,39,299
2025 Pick 2.01,null,PICK,null,15652,DP_1_0,DP_1_0,2518,97,16,-75
Kyler Murray,ARI,QB,27.6,3544,5849,14056,2515,98,13,-178
Ricky Pearsall,SF,WR,24.5,11752,11638,16622,2485,99,40,140
Colston Loveland,null,TE,null,12578,12517,UNK,2450,100,7,7
Brock Purdy,SF,QB,25.2,5570,8183,15698,2408,101,14,-72
2025 Pick 2.02,null,PICK,null,15653,DP_1_1,DP_1_1,2399,102,17,-76
Tyrone Tracy,NYG,RB,25.3,12123,11655,16747,2385,103,25,-249
Tre Harris,null,WR,null,12593,12509,UNK,2336,104,41,-114
Baker Mayfield,TB,QB,29.9,2737,4892,13590,2333,105,15,-274
Travis Etienne,JAX,RB,26.2,3156,7543,15253,2331,106,26,-386
Cam Skattebo,null,RB,null,12643,12481,UNK,2325,107,27,-37
Brian Robinson,WAS,RB,26,4174,8154,15716,2318,108,28,-256
Matthew Golden,null,WR,null,12672,12501,UNK,2311,109,42,17
Cam Ward,null,QB,null,12603,12522,UNK,2297,110,16,-109
2025 Pick 2.03,null,PICK,null,15654,DP_1_2,DP_1_2,2290,111,18,-77
James Conner,ARI,RB,29.9,7447,4137,13146,2289,112,29,-105
Devin Neal,null,RB,null,12618,12476,UNK,2277,113,30,-115
J.J. McCarthy,MIN,QB,22.2,11740,11565,16584,2256,114,17,86
Josh Downs,IND,WR,23.6,9936,9500,16187,2251,115,43,-190
Mark Andrews,BAL,TE,29.5,4519,5012,13671,2249,116,8,-123
Dalton Kincaid,BUF,TE,25.4,9819,10236,16213,2242,117,9,-297
